ordinal	assembly	fullName	name	action	target	basis
152	SomeEngine.Graphics	SomeEngine.Graphics.ResidencyTrimResult	ResidencyTrimResult	删除	—	结果只包装一个数字/状态；直接返回被回收字节数及完成 fence。
153	SomeEngine.Graphics	SomeEngine.Graphics.ResolveMode	ResolveMode	保留	ResolveMode	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
154	SomeEngine.Graphics	SomeEngine.Graphics.Resource	Resource	保留	Resource	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
155	SomeEngine.Graphics	SomeEngine.Graphics.ResourceBarrier	ResourceBarrier	合并	BarrierGroup	删除 barrier 基类、Kind 判别器和每变体一类的继承树；只保留标准 flat barrier 数据。
156	SomeEngine.Graphics	SomeEngine.Graphics.ResourceHeapClass	ResourceHeapClass	删除	—	heap compatibility 由 MemoryRequirements/HeapFlags 给出；不再复制资源种类判别器。
157	SomeEngine.Graphics	SomeEngine.Graphics.ResourceHeapTier	ResourceHeapTier	保留	ResourceHeapTier	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
158	SomeEngine.Graphics	SomeEngine.Graphics.ResourceKind	ResourceKind	删除	—	静态/运行时 owner 类型已经区分 Buffer 与 Texture，不再保存 ResourceKind。
159	SomeEngine.Graphics	SomeEngine.Graphics.ResourceRequirements	ResourceRequirements	改名	MemoryRequirements	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
160	SomeEngine.Graphics	SomeEngine.Graphics.ResourceState	ResourceState	保留	ResourceState	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
161	SomeEngine.Graphics	SomeEngine.Graphics.Sampler	Sampler	保留	Sampler	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
162	SomeEngine.Graphics	SomeEngine.Graphics.SamplerBorderColor	SamplerBorderColor	改名	BorderColor	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
163	SomeEngine.Graphics	SomeEngine.Graphics.SamplerDesc	SamplerDesc	保留	SamplerDesc	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
164	SomeEngine.Graphics	SomeEngine.Graphics.SamplerDescriptor	SamplerDescriptor	合并	WriteDescriptorSet	descriptor write 使用 Vulkan 的一个 flat WriteDescriptorSet；不保留每资源一种 subclass。
165	SomeEngine.Graphics	SomeEngine.Graphics.SamplerFeedbackMapDesc	SamplerFeedbackMapDesc	删除	—	Sampler Feedback 是 D3D12 backend 扩展；portable command surface 不保留自造 map/mode/layout 包装。
166	SomeEngine.Graphics	SomeEngine.Graphics.SamplerFeedbackMapLayout	SamplerFeedbackMapLayout	删除	—	Sampler Feedback 是 D3D12 backend 扩展；portable command surface 不保留自造 map/mode/layout 包装。
167	SomeEngine.Graphics	SomeEngine.Graphics.SamplerFeedbackMode	SamplerFeedbackMode	删除	—	Sampler Feedback 是 D3D12 backend 扩展；portable command surface 不保留自造 map/mode/layout 包装。
168	SomeEngine.Graphics	SomeEngine.Graphics.SamplerFeedbackTier	SamplerFeedbackTier	保留	SamplerFeedbackTier	D3D12 已有同名 capability tier；仅作为 capability fact 保留。
169	SomeEngine.Graphics	SomeEngine.Graphics.ScissorRect	ScissorRect	改名	Rect2D	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
170	SomeEngine.Graphics	SomeEngine.Graphics.ShaderArtifact	ShaderArtifact	改名	ShaderModule	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
171	SomeEngine.Graphics	SomeEngine.Graphics.ShaderArtifactKey	ShaderArtifactKey	合并	ShaderModuleIdentifier	shader reflection 与 descriptor layout 只保留一份 binding 真相。
172	SomeEngine.Graphics	SomeEngine.Graphics.ShaderBinaryFormat	ShaderBinaryFormat	保留	ShaderBinaryFormat	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
173	SomeEngine.Graphics	SomeEngine.Graphics.ShaderInterface	ShaderInterface	合并	ShaderReflection	shader reflection 与 descriptor layout 只保留一份 binding 真相。
174	SomeEngine.Graphics	SomeEngine.Graphics.ShaderQualifiers	ShaderQualifiers	合并	ShaderReflection	shader reflection 与 descriptor layout 只保留一份 binding 真相。
175	SomeEngine.Graphics	SomeEngine.Graphics.ShaderRegisterAddress	ShaderRegisterAddress	合并	ShaderReflection	shader reflection 与 descriptor layout 只保留一份 binding 真相。
176	SomeEngine.Graphics	SomeEngine.Graphics.ShaderSlot	ShaderSlot	合并	DescriptorSetLayoutBinding	shader reflection 与 descriptor layout 只保留一份 binding 真相。
177	SomeEngine.Graphics	SomeEngine.Graphics.ShaderSlotKind	ShaderSlotKind	改名	DescriptorType	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
178	SomeEngine.Graphics	SomeEngine.Graphics.ShaderStage	ShaderStage	保留	ShaderStage	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
179	SomeEngine.Graphics	SomeEngine.Graphics.ShaderStages	ShaderStages	改名	ShaderStageFlags	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
180	SomeEngine.Graphics	SomeEngine.Graphics.ShaderTableRegion	ShaderTableRegion	改名	StridedDeviceAddressRegion	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
181	SomeEngine.Graphics	SomeEngine.Graphics.ShadingRate	ShadingRate	保留	ShadingRate	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
182	SomeEngine.Graphics	SomeEngine.Graphics.ShadingRateCombiner	ShadingRateCombiner	保留	ShadingRateCombiner	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
183	SomeEngine.Graphics	SomeEngine.Graphics.SkipPendingPipelineBinding	SkipPendingPipelineBinding	删除	—	pipeline ready/pending/fallback 是 cache 决策，不是 command binding 的类层级。
184	SomeEngine.Graphics	SomeEngine.Graphics.SparseBoxTileRegion	SparseBoxTileRegion	合并	TileRegionSize	D3D12 的一个 TileRegionSize 同时表示线性数量和 box。
185	SomeEngine.Graphics	SomeEngine.Graphics.SparseLinearTileRegion	SparseLinearTileRegion	合并	TileRegionSize	D3D12 的一个 TileRegionSize 同时表示线性数量和 box。
186	SomeEngine.Graphics	SomeEngine.Graphics.SparseMappedTileMapping	SparseMappedTileMapping	合并	TileMapping	映射/取消映射由一个 TileMapping + TileRangeFlags 表达，不保留继承树。
187	SomeEngine.Graphics	SomeEngine.Graphics.SparsePackedMips	SparsePackedMips	改名	PackedMipInfo	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
188	SomeEngine.Graphics	SomeEngine.Graphics.SparseResourceTier	SparseResourceTier	保留	SparseResourceTier	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
189	SomeEngine.Graphics	SomeEngine.Graphics.SparseSubresourceTiling	SparseSubresourceTiling	改名	SubresourceTiling	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
190	SomeEngine.Graphics	SomeEngine.Graphics.SparseTileCoordinate	SparseTileCoordinate	改名	TiledResourceCoordinate	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
191	SomeEngine.Graphics	SomeEngine.Graphics.SparseTileMapping	SparseTileMapping	合并	TileMapping	映射/取消映射由一个 TileMapping + TileRangeFlags 表达，不保留继承树。
192	SomeEngine.Graphics	SomeEngine.Graphics.SparseTileRegion	SparseTileRegion	合并	TileRegionSize	D3D12 的一个 TileRegionSize 同时表示线性数量和 box。
193	SomeEngine.Graphics	SomeEngine.Graphics.SparseTileShape	SparseTileShape	改名	TileShape	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
194	SomeEngine.Graphics	SomeEngine.Graphics.SparseUnmappedTileMapping	SparseUnmappedTileMapping	合并	TileMapping	映射/取消映射由一个 TileMapping + TileRangeFlags 表达，不保留继承树。
195	SomeEngine.Graphics	SomeEngine.Graphics.StencilAttachmentPayload	StencilAttachmentPayload	合并	RenderingAttachmentInfo	颜色、深度、模板和 resolve 都是同一 attachment info，不再各包一层。
196	SomeEngine.Graphics	SomeEngine.Graphics.StencilFace	StencilFace	保留	StencilFace	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
197	SomeEngine.Graphics	SomeEngine.Graphics.StencilOperation	StencilOperation	保留	StencilOperation	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
198	SomeEngine.Graphics	SomeEngine.Graphics.StoreAction	StoreAction	保留	StoreAction	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
199	SomeEngine.Graphics	SomeEngine.Graphics.Swapchain	Swapchain	保留	Swapchain	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
200	SomeEngine.Graphics	SomeEngine.Graphics.SwapchainColorSpace	SwapchainColorSpace	改名	ColorSpace	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
201	SomeEngine.Graphics	SomeEngine.Graphics.SwapchainDesc	SwapchainDesc	改名	SwapchainCreateInfo	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
202	SomeEngine.Graphics	SomeEngine.Graphics.SwapchainPresentMode	SwapchainPresentMode	改名	PresentMode	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
203	SomeEngine.Graphics	SomeEngine.Graphics.Texture	Texture	保留	Texture	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
204	SomeEngine.Graphics	SomeEngine.Graphics.TextureBufferCopy	TextureBufferCopy	合并	BufferImageCopy	方向相反但字段同构的复制参数只保留 Vulkan 的一个标准结构。
205	SomeEngine.Graphics	SomeEngine.Graphics.TextureBufferLayout	TextureBufferLayout	合并	BufferImageCopy	方向相反但字段同构的复制参数只保留 Vulkan 的一个标准结构。
206	SomeEngine.Graphics	SomeEngine.Graphics.TextureCopyFootprint	TextureCopyFootprint	改名	PlacedSubresourceFootprint	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
207	SomeEngine.Graphics	SomeEngine.Graphics.TextureCopyRegion	TextureCopyRegion	合并	BufferImageCopy / ImageCopy	方向相反但字段同构的复制参数只保留 Vulkan 的一个标准结构。
208	SomeEngine.Graphics	SomeEngine.Graphics.TextureDesc	TextureDesc	保留	TextureDesc	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
209	SomeEngine.Graphics	SomeEngine.Graphics.TextureDescriptor	TextureDescriptor	合并	WriteDescriptorSet	descriptor write 使用 Vulkan 的一个 flat WriteDescriptorSet；不保留每资源一种 subclass。
210	SomeEngine.Graphics	SomeEngine.Graphics.TextureDimension	TextureDimension	保留	TextureDimension	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
211	SomeEngine.Graphics	SomeEngine.Graphics.TexturePlane	TexturePlane	改名	ImageAspect	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
212	SomeEngine.Graphics	SomeEngine.Graphics.TexturePlanes	TexturePlanes	改名	ImageAspectFlags	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
213	SomeEngine.Graphics	SomeEngine.Graphics.TextureResolveRegion	TextureResolveRegion	合并	ImageResolve	方向相反但字段同构的复制参数只保留 Vulkan 的一个标准结构。
214	SomeEngine.Graphics	SomeEngine.Graphics.TextureSampleType	TextureSampleType	保留	TextureSampleType	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
215	SomeEngine.Graphics	SomeEngine.Graphics.TextureSubresourceRange	TextureSubresourceRange	改名	SubresourceRange	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
216	SomeEngine.Graphics	SomeEngine.Graphics.TextureToTextureCopy	TextureToTextureCopy	合并	ImageCopy	方向相反但字段同构的复制参数只保留 Vulkan 的一个标准结构。
217	SomeEngine.Graphics	SomeEngine.Graphics.TextureTransitionBarrier	TextureTransitionBarrier	合并	TextureBarrier	删除 barrier 基类、Kind 判别器和每变体一类的继承树；只保留标准 flat barrier 数据。
218	SomeEngine.Graphics	SomeEngine.Graphics.TextureUnorderedAccessBarrier	TextureUnorderedAccessBarrier	合并	TextureBarrier	删除 barrier 基类、Kind 判别器和每变体一类的继承树；只保留标准 flat barrier 数据。
219	SomeEngine.Graphics	SomeEngine.Graphics.TextureUsage	TextureUsage	保留	TextureUsage	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
220	SomeEngine.Graphics	SomeEngine.Graphics.TextureView	TextureView	保留	TextureView	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
221	SomeEngine.Graphics	SomeEngine.Graphics.TextureViewDesc	TextureViewDesc	保留	TextureViewDesc	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
222	SomeEngine.Graphics	SomeEngine.Graphics.TextureViewDimension	TextureViewDimension	保留	TextureViewDimension	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
223	SomeEngine.Graphics	SomeEngine.Graphics.TextureViewFormats	TextureViewFormats	删除	—	允许 view format 直接是 create-info 中的 span/immutable array；删除自造集合及 Enumerator。
224	SomeEngine.Graphics	SomeEngine.Graphics.TextureViewFormats.Enumerator	Enumerator	删除	—	允许 view format 直接是 create-info 中的 span/immutable array；删除自造集合及 Enumerator。
225	SomeEngine.Graphics	SomeEngine.Graphics.TextureViewUsage	TextureViewUsage	保留	TextureViewUsage	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
226	SomeEngine.Graphics	SomeEngine.Graphics.TimestampCalibration	TimestampCalibration	改名	ClockCalibration	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
227	SomeEngine.Graphics	SomeEngine.Graphics.TopLevelAccelerationStructureInputs	TopLevelAccelerationStructureInputs	合并	AccelerationStructureBuildGeometryInfo	Vulkan 的一个 AccelerationStructureBuildGeometryInfo 已包含 mode/src/dst/scratch/geometry。
228	SomeEngine.Graphics	SomeEngine.Graphics.TransientBufferClaim	TransientBufferClaim	删除	—	TransientResourceAllocator 是唯一 pool；source/allocator 接口和 claim generation 协议都是重复纵向层。
229	SomeEngine.Graphics	SomeEngine.Graphics.TransientClaimState	TransientClaimState	删除	—	TransientResourceAllocator 是唯一 pool；source/allocator 接口和 claim generation 协议都是重复纵向层。
230	SomeEngine.Graphics	SomeEngine.Graphics.TransientHeapClaim	TransientHeapClaim	删除	—	TransientResourceAllocator 是唯一 pool；source/allocator 接口和 claim generation 协议都是重复纵向层。
231	SomeEngine.Graphics	SomeEngine.Graphics.TransientResourceAllocator	TransientResourceAllocator	保留	TransientResourceAllocator	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
232	SomeEngine.Graphics	SomeEngine.Graphics.TransientResourceAllocator.BufferEntry	BufferEntry	保留	TransientResourceAllocator.BufferEntry	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
233	SomeEngine.Graphics	SomeEngine.Graphics.TransientResourceAllocator.BufferKey	BufferKey	保留	TransientResourceAllocator.BufferKey	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
234	SomeEngine.Graphics	SomeEngine.Graphics.TransientResourceAllocator.BufferViewEntry	BufferViewEntry	保留	TransientResourceAllocator.BufferViewEntry	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
235	SomeEngine.Graphics	SomeEngine.Graphics.TransientResourceAllocator.BufferViewKey	BufferViewKey	保留	TransientResourceAllocator.BufferViewKey	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
236	SomeEngine.Graphics	SomeEngine.Graphics.TransientResourceAllocator.HeapEntry	HeapEntry	保留	TransientResourceAllocator.HeapEntry	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
237	SomeEngine.Graphics	SomeEngine.Graphics.TransientResourceAllocator.TextureEntry	TextureEntry	保留	TransientResourceAllocator.TextureEntry	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
238	SomeEngine.Graphics	SomeEngine.Graphics.TransientResourceAllocator.TextureKey	TextureKey	保留	TransientResourceAllocator.TextureKey	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
239	SomeEngine.Graphics	SomeEngine.Graphics.TransientResourceAllocator.TextureViewEntry	TextureViewEntry	保留	TransientResourceAllocator.TextureViewEntry	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
240	SomeEngine.Graphics	SomeEngine.Graphics.TransientResourceAllocator.TextureViewKey	TextureViewKey	保留	TransientResourceAllocator.TextureViewKey	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
241	SomeEngine.Graphics	SomeEngine.Graphics.TransientResourceSource	TransientResourceSource	删除	—	TransientResourceAllocator 是唯一 pool；source/allocator 接口和 claim generation 协议都是重复纵向层。
242	SomeEngine.Graphics	SomeEngine.Graphics.TransientTextureClaim	TransientTextureClaim	删除	—	TransientResourceAllocator 是唯一 pool；source/allocator 接口和 claim generation 协议都是重复纵向层。
243	SomeEngine.Graphics	SomeEngine.Graphics.UpdateAccelerationStructureBuild	UpdateAccelerationStructureBuild	合并	AccelerationStructureBuildGeometryInfo	Vulkan 的一个 AccelerationStructureBuildGeometryInfo 已包含 mode/src/dst/scratch/geometry。
244	SomeEngine.Graphics	SomeEngine.Graphics.UseFallbackPipelineBinding	UseFallbackPipelineBinding	删除	—	pipeline ready/pending/fallback 是 cache 决策，不是 command binding 的类层级。
245	SomeEngine.Graphics	SomeEngine.Graphics.VariableRateShadingTier	VariableRateShadingTier	保留	VariableRateShadingTier	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
246	SomeEngine.Graphics	SomeEngine.Graphics.VertexAttribute	VertexAttribute	保留	VertexAttribute	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
247	SomeEngine.Graphics	SomeEngine.Graphics.VertexBufferLayout	VertexBufferLayout	保留	VertexBufferLayout	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
248	SomeEngine.Graphics	SomeEngine.Graphics.Viewport	Viewport	保留	Viewport	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
249	SomeEngine.Graphics	SomeEngine.Graphics.WaitForPendingPipelineBinding	WaitForPendingPipelineBinding	删除	—	pipeline ready/pending/fallback 是 cache 决策，不是 command binding 的类层级。
250	SomeEngine.Graphics	SomeEngine.Graphics.WorkGraph	WorkGraph	保留	WorkGraph	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
251	SomeEngine.Graphics	SomeEngine.Graphics.WorkGraphBackingOperation	WorkGraphBackingOperation	改名	SetWorkGraphFlags	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
252	SomeEngine.Graphics	SomeEngine.Graphics.WorkGraphBufferAccess	WorkGraphBufferAccess	合并	AccessFlags + BufferHandle	Work Graph 资源访问由普通 RG access/barrier 声明承担，不是 DispatchGraph 的额外参数。
253	SomeEngine.Graphics	SomeEngine.Graphics.WorkGraphDesc	WorkGraphDesc	保留	WorkGraphDesc	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
254	SomeEngine.Graphics	SomeEngine.Graphics.WorkGraphEntrypointLayout	WorkGraphEntrypointLayout	合并	WorkGraph	Work Graph 资源访问由普通 RG access/barrier 声明承担，不是 DispatchGraph 的额外参数。
255	SomeEngine.Graphics	SomeEngine.Graphics.WorkGraphMemoryRequirements	WorkGraphMemoryRequirements	保留	WorkGraphMemoryRequirements	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
256	SomeEngine.Graphics	SomeEngine.Graphics.WorkGraphTextureAccess	WorkGraphTextureAccess	合并	AccessFlags + TextureHandle	Work Graph 资源访问由普通 RG access/barrier 声明承担，不是 DispatchGraph 的额外参数。
257	SomeEngine.Graphics	SomeEngine.Graphics.WorkGraphTier	WorkGraphTier	保留	WorkGraphTier	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
258	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.BindingLookupRow	BindingLookupRow	合并	DescriptorRange	layout lookup 与 D3D12 descriptor range 是同一事实。
259	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.BufferCommandResourceRegion	BufferCommandResourceRegion	删除	—	一组 Mutation/Region subclass 只是 ResourceStateTracker 的事件表示；合并为一个 tracker。
260	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.BufferIntervalKey	BufferIntervalKey	合并	BufferRange	buffer interval key 与已有 BufferRange 同义。
261	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.CommandAllocation	CommandAllocation	删除	—	CommandRecorder、CommandAllocation、NativeCommandList 原为同一 command list 的三层 owner；只留 D3D12CommandList。
262	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.CommandDescriptorArena	CommandDescriptorArena	删除	—	descriptor arena 是 command-list 私有分配细节；字段内联，不升级成额外 owner。
263	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.CommandDescriptorArena.HeapPair	HeapPair	删除	—	descriptor arena 是 command-list 私有分配细节；字段内联，不升级成额外 owner。
264	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.CommandRecorder	CommandRecorder	删除	—	CommandRecorder、CommandAllocation、NativeCommandList 原为同一 command list 的三层 owner；只留 D3D12CommandList。
265	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.CommandRecorder.BoundColorAttachment	BoundColorAttachment	合并	RenderingAttachmentInfo	bound attachment 与 native barrier 临时结构直接使用标准 RenderingAttachmentInfo/BarrierGroup。
266	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.CommandRecorder.BoundDepthStencilAttachment	BoundDepthStencilAttachment	合并	RenderingAttachmentInfo	bound attachment 与 native barrier 临时结构直接使用标准 RenderingAttachmentInfo/BarrierGroup。
267	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.CommandRecorder.DescriptorGroupBorrow	DescriptorGroupBorrow	删除	—	descriptor arena 是 command-list 私有分配细节；字段内联，不升级成额外 owner。
268	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.CommandRecorder.NativeBarrierGroup	NativeBarrierGroup	合并	BarrierGroup	bound attachment 与 native barrier 临时结构直接使用标准 RenderingAttachmentInfo/BarrierGroup。
269	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.CommandRecorder.NativeBufferBarrier	NativeBufferBarrier	合并	BufferBarrier	bound attachment 与 native barrier 临时结构直接使用标准 RenderingAttachmentInfo/BarrierGroup。
270	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.CommandRecorder.NativeTextureBarrier	NativeTextureBarrier	合并	TextureBarrier	bound attachment 与 native barrier 临时结构直接使用标准 RenderingAttachmentInfo/BarrierGroup。
271	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.CommandRecorder.RayTracingRootConstantWrite	RayTracingRootConstantWrite	删除	—	ray tracing descriptor/root-constant staging 移到 ShaderBindingTable 构建；不是独立 command state 类型。
272	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.CommandResourceMutation	CommandResourceMutation	删除	—	一组 Mutation/Region subclass 只是 ResourceStateTracker 的事件表示；合并为一个 tracker。
273	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.CommandResourceRegion	CommandResourceRegion	删除	—	一组 Mutation/Region subclass 只是 ResourceStateTracker 的事件表示；合并为一个 tracker。
274	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.CpuDescriptorPool	CpuDescriptorPool	保留	CpuDescriptorPool	private cache/allocator/transaction helper 有独立算法职责，且名字是普通实现术语。
275	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.CpuDescriptorPool.Bucket	Bucket	保留	CpuDescriptorPool.Bucket	private cache/allocator/transaction helper 有独立算法职责，且名字是普通实现术语。
276	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.CpuDescriptorPool.Page	Page	保留	CpuDescriptorPool.Page	private cache/allocator/transaction helper 有独立算法职责，且名字是普通实现术语。
277	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.DescriptorBlock	DescriptorBlock	删除	—	descriptor arena 是 command-list 私有分配细节；字段内联，不升级成额外 owner。
278	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.Device	Device	改名	D3D12Device	backend 类型用显式 D3D12 owner 名；它们直接实现/继承 public owner。
279	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.Device.BufferRequirementKey	BufferRequirementKey	删除	—	requirement cache 直接以规范化 BufferDesc/TextureDesc 为 key。
280	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.Device.DxilLibraryDescriptionNative	DxilLibraryDescriptionNative	删除	—	这些 private *Native struct 是对 D3D12 interop struct 的第二次手写镜像。
281	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.Device.IndirectSignatureKey	IndirectSignatureKey	保留	Device.IndirectSignatureKey	private cache/allocator/transaction helper 有独立算法职责，且名字是普通实现术语。
282	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.Device.MeshPipelineStream	MeshPipelineStream	改名	PipelineStateStream	backend 类型用显式 D3D12 owner 名；它们直接实现/继承 public owner。
283	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.Device.NativeBufferMapping	NativeBufferMapping	合并	BufferMapping	public BufferMapping 已经是唯一 mapping lifetime；backend 对象并入它。
284	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.Device.PipelineCacheEntry	PipelineCacheEntry	保留	Device.PipelineCacheEntry	private cache/allocator/transaction helper 有独立算法职责，且名字是普通实现术语。
285	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.Device.PipelineCacheEntryKey	PipelineCacheEntryKey	保留	Device.PipelineCacheEntryKey	private cache/allocator/transaction helper 有独立算法职责，且名字是普通实现术语。
286	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.Device.RetiredAllocation	RetiredAllocation	保留	Device.RetiredAllocation	private cache/allocator/transaction helper 有独立算法职责，且名字是普通实现术语。
287	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.Device.StateObjectDescriptionNative	StateObjectDescriptionNative	删除	—	这些 private *Native struct 是对 D3D12 interop struct 的第二次手写镜像。
288	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.Device.StateSubObjectNative	StateSubObjectNative	删除	—	这些 private *Native struct 是对 D3D12 interop struct 的第二次手写镜像。
289	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.Device.TextureRequirementKey	TextureRequirementKey	删除	—	requirement cache 直接以规范化 BufferDesc/TextureDesc 为 key。
290	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.Device.WorkGraphDescriptionNative	WorkGraphDescriptionNative	删除	—	这些 private *Native struct 是对 D3D12 interop struct 的第二次手写镜像。
291	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.DeviceConfiguration	DeviceConfiguration	保留	DeviceConfiguration	private cache/allocator/transaction helper 有独立算法职责，且名字是普通实现术语。
292	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.DxilProgramHeader	DxilProgramHeader	保留	DxilProgramHeader	private cache/allocator/transaction helper 有独立算法职责，且名字是普通实现术语。
293	SomeEngine.Graphics.Direct3D12	SomeEngine.Graphics.Direct3D12.EntityKey	EntityKey	删除	—	wrapper/generation owner 删除后不再需要 slot+generation EntityTable。
